name,version,license,license_url,functionality,notes,dist_name,channel,build,build_number
tokenizers,0.10.3,Apache-2.0,https://github.com/huggingface/tokenizers/blob/main/LICENSE,tokenizers for machine learning,,tokenizers-0.10.3-py38he82c38c_1,conda-forge,py38he82c38c_1,1
tqdm,4.64.1,MPL-2.0 or MIT,https://github.com/tqdm/tqdm/blob/master/LICENCE,Progress Meter Library,,tqdm-4.64.1-pyhd8ed1ab_0,conda-forge,pyhd8ed1ab_0,0
transformers,4.16.2,Apache-2.0,https://github.com/huggingface/transformers/blob/main/LICENSE,Natural Language Processing library,,transformers-4.16.2-pyhd8ed1ab_0,conda-forge,pyhd8ed1ab_0,0
typing-extensions,4.4.0,PSF-2.0,https://github.com/python/typing/blob/master/typing_extensions/LICENSE,type hinting library for python,,typing-extensions-4.4.0-hd8ed1ab_0,conda-forge,hd8ed1ab_0,0
typing_extensions,4.4.0,PSF-2.0,https://github.com/python/typing/blob/master/typing_extensions/LICENSE,Type Hints for Python,,typing_extensions-4.4.0-pyha770c72_0,conda-forge,pyha770c72_0,0
watchdog,2.1.7,Apache-2.0,https://github.com/gorakhargosh/watchdog/blob/master/LICENSE,python library for monitor file system events,,watchdog-2.1.7-py38h33210d7_1,conda-forge,py38h33210d7_1,1
wheel,0.38.4,MIT,https://github.com/pypa/wheel/blob/master/LICENSE.txt,package distribution,,wheel-0.38.4-pyhd8ed1ab_0,conda-forge,pyhd8ed1ab_0,0
xz,5.2.6,LGPL-2.1 and GPL-2.0,https://git.tukaani.org/?p=xz.git;a=blob_plain;f=COPYING;hb=HEAD,Data compression software with high compression ratio,,xz-5.2.6-h57fd34a_0,conda-forge,h57fd34a_0,0
yaml,0.2.5,MIT,https://github.com/yaml/libyaml/blob/master/License,A C library for parsing yaml,,yaml-0.2.5-h3422bc3_2,conda-forge,h3422bc3_2,2
zlib,1.2.13,Zlib,http://zlib.net/zlib_license.html,compression library,,zlib-1.2.13-h03a7124_4,conda-forge,h03a7124_4,4
