name,version,license,license_url,functionality,notes,dist_name,channel,build,build_number
pyopenssl,23.2.0,Apache-2.0,https://github.com/pyca/pyopenssl/blob/main/LICENSE,Python wrapper module for openssl,,pyopenssl-23.2.0-py38hecd8cb5_0,pkgs/main,py38hecd8cb5_0,0
python,3.8.10,Python-2.0,https://docs.python.org/3/license.html,python runtime,,python-3.8.10-h88f2d9e_7,pkgs/main,h88f2d9e_7,7
python-dateutil,2.8.2,BSD-3-Clause and Apache,https://github.com/dateutil/dateutil/blob/master/LICENSE,Extensions to the standard Python datetime module,,python-dateutil-2.8.2-pyhd3eb1b0_0,pkgs/main,pyhd3eb1b0_0,0
python-flatbuffers,2.0,Apache-2.0,https://github.com/google/flatbuffers/blob/master/LICENSE.txt,library for use with the Flatbuffers serialization format,,python-flatbuffers-2.0-pyhd3eb1b0_0,pkgs/main,pyhd3eb1b0_0,0
python_abi,3.8,BSD-3-Clause,https://github.com/conda-forge/python_abi-feedstock/blob/main/LICENSE.txt,Meta package to select python implementation,,python_abi-3.8-2_cp38,conda-forge,2_cp38,2
pytz,2022.7,MIT,https://github.com/newvem/pytz/blob/master/LICENSE.txt,dependency,,pytz-2022.7-py38hecd8cb5_0,pkgs/main,py38hecd8cb5_0,0
re2,2022.04.01,BSD-3-Clause,https://github.com/google/re2/blob/main/LICENSE,regular expression library,,re2-2022.04.01-he9d5cce_0,pkgs/main,he9d5cce_0,0
s3transfer,0.3.6,Apache-2.0,,,,s3transfer-0.3.6-pyhd3eb1b0_0,pkgs/main,pyhd3eb1b0_0,0
scikit-learn,0.24.2,BSD-3-Clause,https://github.com/scikit-learn/scikit-learn/blob/master/COPYING,machine learning library,,scikit-learn-0.24.2-py38hb2f4e1b_0,pkgs/main,py38hb2f4e1b_0,0
scipy,1.6.2,BSD 3-Clause,https://github.com/scipy/scipy/blob/master/LICENSE.txt,math libraries and data science tools,,scipy-1.6.2-py38hd5f7400_1,pkgs/main,py38hd5f7400_1,1
setuptools,68.0.0,MIT,https://github.com/pypa/setuptools/blob/master/LICENSE,dependency of python,,setuptools-68.0.0-py38hecd8cb5_0,pkgs/main,py38hecd8cb5_0,0
six,1.16.0,MIT,https://github.com/benjaminp/six/blob/master/LICENSE,backwards compatibility utility package,,six-1.16.0-pyhd3eb1b0_1,pkgs/main,pyhd3eb1b0_1,1
statsmodels,0.12.2,BSD-3-Clause,https://github.com/statsmodels/statsmodels/blob/master/LICENSE.txt,statistics and math library package,,statsmodels-0.12.2-py38h9ed2024_0,pkgs/main,py38h9ed2024_0,0
threadpoolctl,2.2.0,BSD 3-Clause,https://github.com/joblib/threadpoolctl/blob/master/LICENSE,Python helpers to control the threadpools of native libraries,,threadpoolctl-2.2.0-pyh0d69192_0,pkgs/main,pyh0d69192_0,0
typing-extensions,4.7.1,PSF-2.0,https://github.com/python/typing/blob/master/typing_extensions/LICENSE,type hinting library for python,,typing-extensions-4.7.1-py38hecd8cb5_0,pkgs/main,py38hecd8cb5_0,0
typing_extensions,4.7.1,PSF-2.0,https://github.com/python/typing/blob/master/typing_extensions/LICENSE,Type Hints for Python,,typing_extensions-4.7.1-py38hecd8cb5_0,pkgs/main,py38hecd8cb5_0,0
urllib3,1.26.16,MIT,,,,urllib3-1.26.16-py38hecd8cb5_0,pkgs/main,py38hecd8cb5_0,0
wheel,0.38.4,MIT,https://github.com/pypa/wheel/blob/master/LICENSE.txt,package distribution,,wheel-0.38.4-py38hecd8cb5_0,pkgs/main,py38hecd8cb5_0,0
xz,5.4.2,LGPL-2.1-or-later and GPL-2.0-or-later,https://git.tukaani.org/?p=xz.git;a=blob_plain;f=COPYING;hb=HEAD,Data compression software with high compression ratio,,xz-5.4.2-h6c40b1e_0,pkgs/main,h6c40b1e_0,0
zlib,1.2.13,Zlib,http://zlib.net/zlib_license.html,compression library,,zlib-1.2.13-h4dc903c_0,pkgs/main,h4dc903c_0,0
